LotArea,NumBedrooms,NumBathrooms,SqftLiving,NumFloors,AgeOfHouse,Location,Condition,SalePrice
5169,1,2,2352,2,17,Rural,Excellent,557268.9143062711
9301,2,3,2101,2,28,Downtown,Excellent,601469.8472819006
8431,2,3,2455,1,28,Rural,Excellent,587766.720951881
4427,2,2,1902,2,11,Downtown,Poor,469271.52278998925
10476,2,2,2741,2,93,Downtown,Good,664710.821226072
11291,5,3,1890,2,65,Rural,Good,434381.52086279297
9857,1,2,2953,1,0,Suburb,Good,648802.1715189721
7140,2,2,1882,1,50,Suburb,Average,422856.7599895692
5358,3,3,1009,1,27,Suburb,Excellent,437226.59116948576
9608,5,1,1438,1,56,Rural,Excellent,471204.0915878784
6693,1,3,2587,1,79,Rural,Good,561220.9475184192
9944,5,3,2317,2,52,Suburb,Poor,468096.7984632562
7916,4,3,1901,2,16,Rural,Excellent,490802.958171037
9453,2,2,1826,1,90,Rural,Good,436406.75546830695
8212,3,3,1177,1,77,Suburb,Poor,275961.44983603724
8913,1,2,2353,1,25,Suburb,Good,526517.1774148275
7521,5,1,2097,1,23,Suburb,Average,495259.60538015614
11071,1,3,2481,1,60,Suburb,Poor,511862.4699259817
7753,4,1,1483,1,71,Suburb,Average,364362.35774892365
8303,3,3,2174,1,19,Suburb,Excellent,607968.38117975
11266,5,2,1856,2,65,Rural,Poor,347664.0812849237
4804,4,1,1580,2,62,Rural,Good,398474.8075802708
4959,3,3,2426,2,40,Downtown,Excellent,666890.7218669632
9438,2,1,1553,2,68,Rural,Average,323026.02236331726
5153,1,2,2276,2,15,Downtown,Poor,540948.9610719063
11387,4,2,1781,2,21,Suburb,Average,452809.3959281536
6672,1,3,2368,2,19,Downtown,Poor,531715.1044523929
6005,1,3,1400,1,28,Suburb,Poor,314649.6912394515
11345,4,1,2154,1,97,Downtown,Average,514908.8831111234
10461,4,2,1387,1,10,Rural,Poor,309127.64190548507
11235,5,2,3392,2,24,Suburb,Average,668430.7811603302
9312,3,3,2074,2,25,Suburb,Average,502449.52013421734
5777,2,2,2328,2,53,Rural,Average,471851.91077253805
11320,3,2,1912,1,7,Downtown,Average,498609.48693969846
6963,2,2,2294,1,20,Rural,Good,500829.0762083321
9104,2,1,1863,1,99,Rural,Average,363094.5131300913
9394,5,1,1638,1,87,Suburb,Average,430455.54747829837
7189,3,1,2667,1,62,Suburb,Excellent,655055.9116136344
8728,4,2,2532,2,62,Downtown,Poor,588029.1557480682
9344,1,3,1940,1,78,Rural,Excellent,465944.71556426014
8252,5,3,1819,2,15,Suburb,Average,451529.0677172352
5301,5,3,1833,1,4,Suburb,Excellent,540632.8153964041
8096,5,1,2164,2,94,Downtown,Poor,487104.2999626
10152,4,2,2023,1,96,Downtown,Average,492694.82609345164
6110,1,1,3211,1,85,Downtown,Good,717850.5654879761
7200,2,1,1998,2,1,Rural,Poor,364771.64818879776
6629,4,3,2739,2,50,Downtown,Excellent,740979.7469846488
11198,3,3,2489,1,23,Rural,Poor,445164.0744436275
8844,3,2,2395,1,64,Rural,Excellent,511088.5513658009
8314,4,1,2183,1,14,Rural,Excellent,572366.0593158777
5960,5,2,2314,1,91,Suburb,Good,556617.9292941408
8578,4,1,1952,2,77,Downtown,Average,505866.7349340582
6151,1,2,1636,1,37,Rural,Good,381281.08179344225
7563,2,1,2448,2,52,Suburb,Good,582156.6470200252
6228,2,2,1621,2,98,Rural,Good,382097.9164318271
8852,2,1,1214,2,76,Downtown,Poor,353037.0647608582
8653,2,1,1938,1,2,Downtown,Good,552469.8571188692
7083,5,3,1600,2,97,Rural,Excellent,446124.7463784434
8292,3,1,2314,1,78,Downtown,Poor,529286.0736973775
5313,3,3,2069,2,17,Suburb,Excellent,612188.7219916089
4517,4,2,1693,1,44,Suburb,Excellent,540365.7940081157
8378,2,3,2536,2,71,Downtown,Excellent,670697.3918780106
7833,3,1,3013,1,27,Rural,Average,548314.8428951647
8770,1,3,2475,2,23,Rural,Average,471014.6206700957
12266,4,3,2662,1,99,Rural,Average,499221.76832350856
9388,5,2,2033,2,65,Suburb,Excellent,563577.9884696604
5674,3,3,2691,1,71,Downtown,Poor,587554.2592026485
9734,2,2,1204,2,57,Suburb,Excellent,468314.0192502955
4868,5,2,2145,2,75,Downtown,Excellent,653461.3463635952
6576,1,3,1789,2,57,Downtown,Good,527536.6597633174
7363,1,1,2177,1,10,Suburb,Poor,447641.29485161556
10926,1,2,1741,2,8,Suburb,Average,397522.9641192433
6010,5,3,2878,2,14,Downtown,Excellent,741207.5989341397
5847,3,2,1792,2,93,Rural,Good,448511.8915927385
7303,3,3,2112,1,95,Downtown,Poor,468375.8619248404
6173,2,3,2171,2,26,Suburb,Good,567896.2367395335
9753,5,1,966,1,51,Downtown,Excellent,466460.15580295
5340,3,3,2356,1,41,Downtown,Good,593448.1144444427
5205,4,2,2494,1,80,Downtown,Good,634044.5349267824
6624,2,2,2074,1,41,Suburb,Poor,437133.56820273964
6503,3,1,1549,2,45,Rural,Good,369515.98535909975
11359,4,2,2225,1,95,Rural,Average,459575.4653424727
9398,2,1,2217,1,26,Rural,Poor,410197.6965656887
7675,1,3,2191,1,69,Suburb,Poor,485218.0995851848
5049,1,3,1790,1,77,Suburb,Average,406545.0189601961
9188,4,3,2363,1,9,Rural,Average,448374.70843133016
5499,1,1,1636,1,21,Downtown,Excellent,549113.4294442753
4410,4,2,2134,1,2,Downtown,Poor,501199.43460441235
9876,2,2,1965,1,32,Suburb,Good,485187.2758855692
8133,3,3,2182,2,68,Suburb,Average,441663.04488310986
9341,2,2,2132,2,40,Downtown,Excellent,620805.7063406811
8137,4,1,3544,1,6,Suburb,Excellent,788812.1247156413
9213,5,1,1669,2,65,Suburb,Average,421432.83020842535
6197,5,1,2106,2,53,Downtown,Excellent,626351.499384197
5431,4,1,1810,1,52,Rural,Average,389452.08899526193
8863,1,2,1385,2,62,Downtown,Good,478379.2260479166
5893,4,1,1194,2,63,Rural,Excellent,398359.8192190614
6120,3,2,1558,2,76,Rural,Good,392411.93436654017
6588,2,3,2290,2,58,Rural,Poor,443077.0965216364
7534,4,2,2226,1,45,Downtown,Good,604654.3635855741
6792,3,1,2643,1,86,Suburb,Excellent,656024.685916051
4750,5,2,1202,1,76,Downtown,Poor,400509.68543850974
6212,4,3,2236,2,16,Downtown,Poor,521924.5556805859
3053,1,3,1989,2,67,Suburb,Excellent,549496.2604975607
8750,4,3,1859,2,86,Downtown,Average,471231.4176643685
4295,5,2,1370,2,24,Suburb,Poor,336494.19716587395
5291,3,1,1949,1,5,Suburb,Excellent,579746.4440991813
7604,4,1,2025,2,84,Rural,Excellent,485882.0217423071
6020,4,2,2058,2,10,Suburb,Poor,402764.0117593019
10586,1,1,1908,1,60,Rural,Average,391751.7576339654
4914,4,1,2469,1,89,Rural,Excellent,554940.3231765089
8034,2,2,1885,1,26,Suburb,Poor,424425.2253797313
7421,4,3,2964,2,25,Suburb,Poor,587078.3722602903
5163,3,1,1815,2,94,Suburb,Good,440097.3597922273
8546,2,3,2009,2,25,Suburb,Excellent,553742.8320371455
7156,1,1,2879,1,69,Suburb,Excellent,683326.358863157
9043,3,3,2139,2,27,Downtown,Excellent,649536.6799473945
9147,1,3,2479,2,64,Suburb,Poor,506312.5471139994
11826,4,1,1928,2,33,Rural,Excellent,490590.2016435124
10173,4,1,1378,1,2,Downtown,Good,520684.051715274
6761,4,2,1961,2,73,Suburb,Excellent,547264.9078816461
7021,5,1,1923,2,78,Suburb,Poor,445101.5868732146
9699,5,1,1417,1,61,Rural,Average,318071.06737518706
8810,5,2,2415,2,39,Rural,Poor,445113.2653124774
8780,2,3,1735,2,23,Downtown,Average,479136.21400234656
4266,5,2,2407,2,52,Downtown,Good,648008.8226476441
7451,4,3,2635,1,69,Suburb,Good,595597.9721525379
6023,4,2,2174,2,34,Downtown,Good,580820.3015301686
8059,1,1,2648,1,95,Downtown,Average,641488.7966664687
7303,3,1,2190,2,2,Suburb,Average,478433.2464329182
9320,3,3,1720,2,78,Downtown,Average,461750.60601552034
8134,2,1,1310,1,27,Rural,Poor,283973.2311624633
9072,3,3,1952,1,27,Suburb,Excellent,587387.2989141213
6567,2,2,2169,2,64,Suburb,Excellent,596967.5668579565
5611,1,1,1724,2,85,Suburb,Poor,333546.6866444043
6679,4,3,1582,2,17,Downtown,Good,528646.7977221528
7465,4,2,2034,1,72,Suburb,Good,537574.9415597699
8258,2,1,1906,2,8,Rural,Excellent,475569.2836042294
12018,5,1,1961,1,45,Downtown,Excellent,606476.5659087925
7415,1,3,1418,1,13,Rural,Poor,321282.965453692
5588,4,1,2397,2,20,Downtown,Poor,539392.5588923799
6808,4,3,1924,1,21,Rural,Excellent,519458.44918959856
6572,1,1,2274,2,87,Suburb,Poor,447983.57894621405
8462,2,2,2229,1,1,Suburb,Excellent,581279.8580434807
4418,5,1,2056,2,38,Downtown,Good,587765.5462462737
7626,2,3,2368,1,56,Suburb,Poor,488365.58556962444
7813,1,3,2612,1,75,Downtown,Poor,541723.5812205484
7964,3,3,1904,1,24,Suburb,Good,516271.5452808513
6305,2,2,1144,1,93,Downtown,Excellent,437351.39218025526
7024,3,1,1736,1,31,Downtown,Poor,431526.7762795218
4651,1,1,869,1,21,Rural,Poor,209437.88529171798
6513,3,1,1936,2,92,Suburb,Average,397926.52323376347
6414,4,3,2018,1,76,Rural,Excellent,532695.4251180693
8332,3,3,3356,2,92,Suburb,Poor,632668.3631834133
5187,5,1,1710,1,65,Suburb,Poor,412038.6098026057
9062,5,3,2021,1,95,Suburb,Good,463717.3114952458
10488,1,1,1627,1,54,Rural,Excellent,459963.16098144674
3360,5,1,1422,2,10,Rural,Excellent,462339.13751216733
8352,3,3,2107,1,92,Rural,Excellent,524303.4131028015
8853,4,1,1567,2,48,Suburb,Poor,364088.8539552661
6225,1,3,1873,2,21,Downtown,Excellent,586143.9392283354
6705,2,1,1882,2,75,Suburb,Good,500570.5359212845
7234,4,3,595,1,4,Suburb,Average,253735.41736042502
6904,2,3,1719,2,78,Downtown,Average,460053.39109451
6881,1,3,2139,1,53,Suburb,Poor,462923.430957871
4147,2,1,2040,1,99,Rural,Excellent,479959.6520966392
9804,4,1,1994,2,55,Rural,Good,454114.5229970466
9659,5,2,1709,1,42,Rural,Excellent,502454.113665632
5873,1,1,1740,2,95,Rural,Average,372704.55028620246
4567,5,1,2538,2,43,Downtown,Good,643988.1170344446
8542,5,1,1535,1,72,Rural,Excellent,448457.47554321727
6348,5,2,1890,2,22,Suburb,Average,494452.49927403824
7783,4,2,1675,1,39,Suburb,Good,508874.3986431581
6861,3,1,2020,2,40,Rural,Good,463684.0453873324
8883,5,1,2523,1,34,Downtown,Excellent,675127.0211770339
8889,3,3,1381,1,35,Suburb,Good,432165.28151107376
6048,1,1,1579,2,52,Downtown,Average,430087.2304996574
4733,2,3,2453,2,95,Downtown,Good,598680.125574674
4334,5,1,2780,1,59,Rural,Average,516687.33748034446
8720,3,3,3328,2,36,Rural,Excellent,716631.9288836907
5122,1,2,1647,1,49,Suburb,Excellent,508840.7917994194
6486,4,2,2737,1,18,Downtown,Average,634367.0957210008
6307,1,1,1614,2,53,Downtown,Good,474423.41918956337
7394,4,2,1824,1,13,Rural,Excellent,506449.38553741475
3627,2,2,1063,1,54,Downtown,Average,391766.83017560694
7877,2,3,1691,1,63,Suburb,Good,466952.6094787572
8547,3,2,1769,2,57,Rural,Average,358693.10434951994
7676,4,1,1791,1,47,Downtown,Excellent,545373.8188586822
6878,4,1,2541,2,11,Downtown,Average,569409.6413564025
7694,2,2,1684,1,85,Rural,Good,398349.3351491301
8298,1,1,2474,1,64,Rural,Good,510677.9636358917
1954,1,2,1901,2,41,Rural,Good,411351.9006541601
11411,3,1,1907,1,17,Downtown,Excellent,607775.1388026472
8280,2,3,2292,1,17,Rural,Poor,426057.16643486463
6195,2,2,937,1,33,Suburb,Excellent,390647.41983193473
6718,5,1,1923,2,40,Downtown,Average,481332.21114053606
8487,3,3,1888,2,99,Downtown,Excellent,560843.696742285
7267,2,2,1553,1,35,Rural,Good,402409.8097610657
3438,5,1,1819,1,34,Downtown,Poor,490832.51636903395
11628,4,2,2118,2,91,Suburb,Good,520793.0946889204
7278,5,3,2359,2,99,Suburb,Excellent,647971.3921607082
9540,2,2,1905,2,32,Downtown,Good,537029.6862997873
6115,1,3,2104,1,24,Rural,Poor,409892.5261330788
10572,3,3,1470,1,9,Rural,Poor,322250.79423880443
8072,4,1,1384,1,91,Suburb,Excellent,492627.81247585
8717,1,3,2064,2,45,Downtown,Poor,472935.47396109527
5409,3,3,2171,2,26,Downtown,Average,562808.5302300208
9922,4,1,1887,2,13,Suburb,Excellent,608391.8770547819
8879,4,3,1044,2,36,Suburb,Average,330582.6204784036
10103,2,1,2661,2,42,Suburb,Excellent,619640.8182718633
6243,5,1,2295,2,24,Downtown,Good,580289.7436423851
6537,1,3,2234,2,48,Suburb,Poor,455934.68116027734
12107,5,2,1879,1,51,Suburb,Good,500576.3319810377
5379,2,3,1020,1,92,Rural,Good,330486.284822408
7228,2,2,2596,1,99,Suburb,Good,584741.8391144433
9773,1,3,2529,2,31,Downtown,Poor,587148.2522968036
7695,4,1,1719,2,32,Downtown,Excellent,569097.4463733685
8665,3,3,1862,2,44,Downtown,Poor,466514.8119202968
6701,4,1,1193,1,90,Suburb,Poor,303056.5350902376
8240,5,2,1434,2,8,Downtown,Average,435231.1651981613
4886,1,3,1897,1,17,Downtown,Average,470906.76879135816
10816,2,2,1607,1,22,Suburb,Poor,374083.03137252724
7263,4,3,1616,1,29,Suburb,Excellent,557112.2420835141
6139,1,1,2581,2,0,Rural,Poor,494758.1036446886
8832,3,1,1515,1,6,Rural,Poor,319969.61022135924
6578,2,3,1893,1,79,Downtown,Excellent,610531.8687457825
4831,4,2,2145,2,21,Downtown,Average,548306.3413575528
4806,2,3,2671,2,82,Suburb,Average,527202.8824467163
8887,5,3,708,1,67,Downtown,Good,399068.80629219254
7180,3,3,1235,1,23,Rural,Poor,298336.32869002176
7232,3,2,1614,2,58,Suburb,Poor,341540.3121460616
9655,3,3,1544,2,11,Rural,Average,383662.0404221521
5246,5,1,2129,1,54,Downtown,Average,505418.044389867
6038,4,3,2010,1,64,Rural,Good,493980.59892465954
6730,4,3,1867,2,24,Downtown,Poor,495732.70502781594
7688,4,1,979,2,68,Downtown,Average,372979.4756670347
7415,4,3,2047,2,41,Rural,Excellent,564660.4648125627
6926,4,2,2518,2,34,Suburb,Poor,546031.5844350129
7376,1,3,1139,1,66,Suburb,Average,320589.366302146
7285,5,2,2577,1,8,Suburb,Excellent,631132.5885374455
6060,3,3,3009,2,35,Suburb,Good,665754.805321253
5874,4,3,671,1,4,Suburb,Poor,261606.91469966117
8049,4,3,2248,2,67,Rural,Excellent,521761.6022357835
5718,3,2,2174,1,36,Suburb,Good,566467.8793424678
5185,3,1,1696,1,66,Suburb,Excellent,539039.2948050945
6875,1,3,2989,2,12,Rural,Average,555438.5514127979
7184,5,3,1780,2,63,Rural,Poor,335504.261013986
12013,2,3,2273,2,89,Suburb,Average,452564.9947083048
6090,1,1,1335,1,24,Downtown,Average,421017.9860215902
9386,2,3,1533,2,33,Suburb,Average,382085.45188641764
8994,1,2,2785,2,47,Suburb,Excellent,691755.882589662
5122,5,1,1765,1,48,Rural,Excellent,465324.8716868933
9046,5,2,984,1,44,Rural,Excellent,363698.7228882436
5132,2,2,2775,1,99,Downtown,Excellent,711524.2323803708
2181,4,1,2150,1,56,Downtown,Excellent,636078.6519841406
8712,4,1,1513,1,99,Rural,Good,381091.9709805626
3988,4,3,2571,2,9,Downtown,Poor,605686.8417999867
8401,2,1,1548,2,47,Downtown,Average,439028.19295575435
6131,4,2,1470,2,4,Suburb,Average,425287.3226041546
10819,3,3,2092,1,75,Rural,Good,429363.8505463081
9637,3,1,1409,2,26,Downtown,Excellent,526606.1650865964
6593,5,2,1750,1,9,Suburb,Excellent,577528.5667235964
6124,2,1,2040,1,89,Suburb,Poor,422008.4417016936
5071,4,3,2211,1,73,Rural,Average,419391.90689287224
6618,3,2,3219,1,28,Rural,Average,617889.9938708985
6939,4,1,1679,2,89,Rural,Excellent,474331.25438921095
6770,1,3,2850,1,68,Downtown,Poor,635186.0441084191
7813,4,1,1399,2,30,Downtown,Poor,370203.18881873967
8657,5,3,2450,2,47,Rural,Good,553263.108846481
8199,1,2,2024,2,33,Suburb,Average,481683.72203991923
5971,2,2,1871,1,93,Suburb,Good,468566.7287542615
4624,4,1,1688,1,93,Rural,Excellent,455055.0581780638
10229,4,2,1143,2,84,Downtown,Good,435127.6778184088
6121,1,1,2078,2,53,Rural,Poor,362236.6366987417
6195,5,1,1877,1,80,Rural,Excellent,527666.2736665007
6457,5,2,2150,2,95,Downtown,Good,625042.2114762838
3813,5,1,2534,1,38,Suburb,Excellent,667914.9264456002
6544,2,1,2776,2,65,Suburb,Average,575808.819126325
6540,1,2,1520,2,65,Suburb,Average,341140.52457692317
8740,3,3,2348,1,30,Rural,Average,519797.00337623147
8896,2,1,2851,1,41,Rural,Poor,507607.92611788213
7507,5,1,2388,2,37,Suburb,Poor,505288.1465336162
9363,5,1,2342,1,42,Rural,Average,455323.7982593778
8179,4,2,1754,1,1,Suburb,Average,440063.964401884
7468,2,3,2065,2,62,Suburb,Poor,452090.87584687705
7821,1,2,3487,2,5,Rural,Excellent,725161.5591830625
7118,5,2,1860,1,14,Suburb,Excellent,547212.8689851852
6710,3,2,2160,1,9,Downtown,Average,546694.292979669
6964,4,3,1822,2,85,Suburb,Average,431821.06396099395
5243,1,2,1871,1,67,Downtown,Good,561633.8051359532
8060,1,2,1666,1,30,Downtown,Poor,408393.232950223
5513,1,2,1759,2,23,Suburb,Excellent,505618.7192370416
9183,4,3,1797,2,81,Suburb,Poor,417495.4667697786
7001,3,3,1883,1,10,Rural,Average,414539.53018001764
7598,5,3,2965,1,47,Downtown,Good,678789.6744278565
8487,4,3,1906,2,55,Rural,Poor,383489.0964937836
8786,4,2,2117,2,48,Suburb,Excellent,600937.8730795908
4358,3,3,2194,1,6,Downtown,Poor,537957.6555124719
7086,1,1,2043,1,70,Suburb,Poor,380930.403235052
9260,5,2,1510,1,21,Rural,Good,370680.7568598933
4103,2,1,2067,1,35,Rural,Good,436646.31983097066
8274,1,3,1608,2,27,Rural,Excellent,422565.3116599906
2988,1,1,1893,1,16,Suburb,Good,502771.1539988402
5454,3,2,2006,1,38,Suburb,Excellent,590903.9850708666
7577,2,2,2358,2,36,Rural,Poor,453360.10080291546
4186,5,2,2643,2,7,Downtown,Excellent,750770.8732027267
5528,5,1,2410,2,14,Downtown,Poor,569064.0230071935
4556,5,2,1954,2,37,Suburb,Excellent,602697.7233911826
10796,3,2,1080,2,68,Rural,Good,288468.7423206361
7828,2,1,880,1,31,Downtown,Good,402532.43311483564
8634,2,3,2235,2,72,Suburb,Good,568379.7176132568
7054,1,2,1519,2,35,Downtown,Excellent,548222.1601621689
6793,4,3,1741,1,71,Downtown,Excellent,594821.9778320361
4267,2,3,1550,1,87,Suburb,Excellent,490126.54019982065
6916,5,2,1465,2,58,Downtown,Average,421686.78925638273
5977,5,1,2548,1,56,Suburb,Excellent,657659.1081782919
9215,4,3,2154,1,67,Downtown,Excellent,623586.8248917529
9782,4,1,2033,2,81,Downtown,Good,553670.2461003726
10433,1,2,1942,2,53,Suburb,Poor,417224.7429969461
9205,1,2,1753,2,27,Rural,Excellent,451961.1667790932
6302,3,2,2097,2,36,Rural,Good,448486.02692732995
5268,5,2,2435,1,81,Rural,Good,541199.9637346595
9033,3,2,1759,2,33,Suburb,Average,464501.3839035473
8212,5,2,2517,1,40,Suburb,Excellent,661094.6272570669
3962,3,1,1676,1,40,Downtown,Excellent,579953.5909040088
8210,1,2,1628,2,83,Downtown,Poor,408004.961563755
9129,2,3,2622,1,31,Rural,Good,591452.9721229023
7617,4,3,2510,2,86,Suburb,Average,577377.8663584038
7129,5,2,2051,1,3,Downtown,Good,591855.9811968154
5884,1,1,2248,2,0,Rural,Average,477186.0777976646
4606,1,2,1483,1,32,Suburb,Average,405982.5067065211
9100,1,2,1917,2,5,Suburb,Average,441028.7748145288
6881,3,2,1788,2,7,Rural,Average,419187.05199901597
7033,4,2,2455,1,69,Downtown,Poor,516669.9288481417
10965,1,1,2292,2,15,Rural,Average,443074.8272006917
8869,3,3,2907,2,88,Downtown,Excellent,736418.4495154175
8241,1,3,2239,1,75,Downtown,Poor,473215.427835074
7784,3,3,1226,1,64,Suburb,Poor,307867.8308174444
10539,2,3,1801,1,33,Suburb,Good,510555.1321805793
10939,3,3,2239,1,34,Suburb,Poor,476640.0071048856
9359,5,3,1672,1,32,Suburb,Good,490437.34321096743
8664,4,1,1872,2,62,Rural,Poor,341704.9415528511
3310,3,2,1871,1,46,Suburb,Excellent,540844.1689141465
7747,4,1,2089,2,56,Suburb,Poor,486411.55934739247
7239,3,1,2011,2,66,Downtown,Poor,492306.5004885538
7687,4,1,2439,1,56,Suburb,Poor,512990.8764904874
9386,2,1,1851,2,31,Suburb,Good,464821.92218040326
2020,5,1,1921,2,80,Rural,Excellent,517727.66538226523
6361,5,1,1797,2,70,Suburb,Poor,404831.5280014989
8039,5,2,2598,2,10,Suburb,Good,629065.6162541584
6566,3,1,2172,2,22,Rural,Poor,430424.6536904462
4666,5,1,2300,1,54,Suburb,Average,522043.85447881656
9237,1,3,2042,2,14,Suburb,Good,532629.953466065
8053,1,3,1934,2,35,Rural,Excellent,474862.7505182623
5557,5,2,1443,1,52,Rural,Average,325790.8896289116
8129,5,1,2339,2,67,Suburb,Good,579121.8735081846
9143,3,3,1559,2,48,Suburb,Poor,360705.6756720533
7510,5,1,1798,2,51,Rural,Excellent,485551.2494112293
9101,4,3,2075,1,58,Rural,Good,469452.67909445503
7656,2,3,2147,1,86,Rural,Poor,389952.9365672183
6709,3,3,2351,1,45,Downtown,Good,630014.6736795898
5181,3,3,940,2,45,Suburb,Poor,243067.61560117596
7328,1,1,2888,2,80,Rural,Good,590679.9360946633
7888,3,2,1559,1,97,Downtown,Excellent,508339.30642162875
9251,3,3,1516,1,20,Suburb,Excellent,516965.70640524244
7269,2,3,1490,2,39,Suburb,Average,422332.70082972565
8414,4,2,1358,2,98,Rural,Good,327819.74628089333
5570,2,1,2181,2,42,Downtown,Good,574956.3279010749
5934,4,3,1116,2,61,Rural,Excellent,382218.58720915683
7279,1,2,1443,2,54,Downtown,Good,444117.6813331958
5390,2,1,2560,2,96,Downtown,Poor,530456.0222212553
9140,2,1,1492,1,97,Rural,Average,323660.539148443
8426,2,1,2610,1,48,Suburb,Poor,504054.35183721327
8058,5,1,2347,2,49,Suburb,Average,510675.40417389234
8177,5,1,1348,1,95,Suburb,Good,403707.3021569454
11542,2,3,2567,2,85,Downtown,Excellent,682358.5363554884
6562,3,3,1818,1,0,Suburb,Poor,381935.93467115494
